id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,detailed_season,neighbourhood_group
15023813.0,,,,,"Beautiful private room, Bath and Private entrance",,,,62688340,,,,,,,,,,,,,,,,,,Torrance,,,33.80549,-118.38016,,Private room,,,,,,,112,1,,,,,,,,,,,,,77,,788,,,,2022-09-06,,,,,,,,,,2,,,,10.83,Early Fall,Other Cities
2987705.0,,,,,Kula Treat - Upcountry Maui with Hot Tub!,,,,15234735,,,,,,,,,,,,,,,,,,Makawao-Pukalani-Kula,,,20.77603,-156.30985,,Entire home/apt,,,,,,,133,1,,,,,,,,,,,,,132,,788,,,,2022-09-09,,,,,,,,,,2,,,,7.86,Early Fall,Maui
18278857.0,,,,,"Two bedroom Guest Home- Private Entrance, Near LAX",,,,67770659,,,,,,,,,,,,,,,,,,Del Aire,,,33.92375,-118.36959,,Entire home/apt,,,,,,,148,1,,,,,,,,,,,,,62,,787,,,,2022-09-08,,,,,,,,,,4,,,,12.04,Early Fall,Unincorporated Areas
820227.0,,,,,MALIBU AIRSTREAM TRAILER MOUNTAIN ADVENTURE,,,,4308078,,,,,,,,,,,,,,,,,,Unincorporated Santa Monica Mountains,,,34.09261,-118.86987,,Entire home/apt,,,,,,,252,2,,,,,,,,,,,,,78,,785,,,,2022-08-21,,,,,,,,,,1,,,,6.62,Late Summer,Unincorporated Areas
18912029.0,,,,,#2 Keanini  $115. per night for 2 people,,,,131179825,,,,,,,,,,,,,,,,,,Hana,,,20.77461,-156.00116,,Private room,,,,,,,115,1,,,,,,,,,,,,,234,,783,,,,2022-09-08,,,,,,,,,,4,,,,12.15,Early Fall,Maui
1025161.0,,,,,Private Room in Elegant French Gothic Home,,,,5644575,,,,,,,,,,,,,,,,,,Mid-Wilshire,,,34.06124,-118.34656,,Private room,,,,,,,98,1,,,,,,,,,,,,,300,,781,,,,2022-09-02,,,,,,,,,,1,,,,6.83,Early Fall,City of Los Angeles
18075653.0,,,,,Sunrise Suite at the Hana Bay B&B,,,,123624556,,,,,,,,,,,,,,,,,,Hana,,,20.75885,-155.98774,,Entire home/apt,,,,,,,200,1,,,,,,,,,,,,,205,,777,,,,2022-08-28,,,,,,,,,,3,,,,13.08,Late Summer,Maui
3259107.0,,,,,Super Venice Location!!,,,,2079340,,,,,,,,,,,,,,,,,,Venice,,,33.99523,-118.47462,,Entire home/apt,,,,,,,141,1,,,,,,,,,,,,,39,,776,,,,2022-09-08,,,,,,,,,,1,,,,7.74,Early Fall,City of Los Angeles
634133.0,,,,,Private Mid-Century Inspired Guesthouse,,,,3157553,,,,,,,,,,,,,,,,,,Mid-Wilshire,,,34.05165,-118.33828,,Entire home/apt,,,,,,,155,2,,,,,,,,,,,,,130,,758,,,,2022-09-07,,,,,,,,,,1,,,,6.18,Early Fall,City of Los Angeles
13942488.0,,,,,"Near LAX, El Segundo and Manhattan Beach",,,,82937391,,,,,,,,,,,,,,,,,,Hawthorne,,,33.91199,-118.37204,,Private room,,,,,,,75,1,,,,,,,,,,,,,97,,751,,,,2022-08-27,,,,,,,,,,1,,,,10.44,Late Summer,Other Cities
